Producto,Codigo_Producto,Region
"Aceitunas, olivas",1450.0,Sur
Aguacates,1311.0,Centro
Ajo verde,1252.0,Norte
"Ajíes y pimientos secos (caspicum y pimenta), en bruto",1652.0,No asignado
"Ajíes y pimientos, verdes (capsicum y pimenta)",1231.0,No asignado
Albaricoques,1343.0,No asignado
Alcachofas,1216.0,No asignado
Algarrobas,1356.0,No asignado
"Algodón con semilla, sin desmotar",1921.01,No asignado
Almendras con cáscara,1371.0,Este
Alpiste,1195.0,No asignado
Altramuz,1709.02,No asignado
"Anís, badiana, cilantro, comino, alcaravea, hinojo y bayas de enebro, en bruto",1654.0,No asignado
Arroz,113.0,No asignado
Arándanos,1355.01,Norte
Avellanas con cáscara,1374.0,No asignado
Avena,117.0,No asignado
"Azucar, caña",1802.0,No asignado
"Azucar, remolacha",1801.0,No asignado
Bananos,1312.0,No asignado
"Batatas, boniatos",1530.0,No asignado
Berenjenas,1233.0,No asignado
"Calabazas, zapayo, calabaza confitera",1235.0,No asignado
Caquis,1359.01,No asignado
"Castañas, con cáscara",1373.0,No asignado
Cañamón,1449.02,No asignado
Cebada,115.0,No asignado
"Cebollas y chalotes, secos (excepto deshidratados)",1253.02,No asignado
"Cebollas, chalotes, verdes",1253.01,No asignado
Centeno,116.0,No asignado
Cereales n.c.p.,1199.9,No asignado
"Cereales, mezcla",1199.02,No asignado
Cerezas,1344.02,No asignado
Ciruelas y endrinas,1346.0,No asignado
Coliflor y brécol,1213.0,No asignado
Colza o semillas de colza,1443.0,No asignado
Conos de lúpulo,1659.0,No asignado
"Cáñamo común, en bruto o enriado",1929.02,No asignado
Dátiles,1314.0,No asignado
Esparragos,1211.0,No asignado
Espinacas,1215.0,No asignado
Frambuesas,1353.01,No asignado
Fresas,1354.0,No asignado
"Frijoles, secos",1701.0,No asignado
Garbanzos secos,1703.0,No asignado
Grano se soja,141.0,No asignado
Grosellas,1351.01,No asignado
Guindas,1344.01,No asignado
"Guisantes, secos",1705.0,No asignado
"Guisantes, verdes",1242.0,No asignado
"Habas y haba caballar, secas",1702.0,No asignado
"Habas y haba caballar, verdes",1243.0,No asignado
Higos,1315.0,No asignado
"Kenaf y otras fibras textiles de líber, brutas o enriadas",1922.02,No asignado
Kiwis,1352.0,No asignado
Lechuga y achicoria,1214.0,No asignado
Lentejas secas,1704.0,No asignado
Limones y limas,1322.0,No asignado
Linaza,1441.0,No asignado
"Lino, en rama o enriado",1929.01,No asignado
Manzanas,1341.0,No asignado
Maní con cáscara,142.0,No asignado
Maíz,112.0,No asignado
Melocotones (duraznos) y nectarinas,1345.0,No asignado
Melón Cantalupo y otros melones,1229.0,No asignado
Membrillos,1342.02,No asignado
"Menta, hierbabuena",1930.01,No asignado
Mijo,118.0,No asignado
Naranjas,1323.0,No asignado
Nueces de nogal con cáscara,1376.0,No asignado
"Otra fruta, drupas, n.c.p.",1349.2,No asignado
Otras bayas y frutos del género vaccinium n.c.p.,1355.9,No asignado
Otras frutas cítricas n.c.p.,1329.0,No asignado
"Otras frutas tropicales, n.c.p.",1319.0,No asignado
"Otras frutas, n.c.p.",1359.9,No asignado
"Otras frutas, pomáceas, n.c.p.",1349.1,No asignado
Otras hortalizas frescas n.c.p.,1290.9,No asignado
"Otras judias, verdes",1241.9,No asignado
Otras legumbres secas n.c.p.,1709.9,No asignado
"Otras semillas oleaginosas, n.c.p.",1449.9,No asignado
"Otros cultivos de estimulantes, especias y plantas aromáticas, n.c.p.",1699.0,No asignado
"Otros frutos secos (excepto nueces silvestres comestibles y maní), con cáscara, n.c.p.",1379.9,No asignado
"Papas, patatas",1510.0,No asignado
"Pepinos, pepinillos",1232.0,No asignado
Peras,1342.01,No asignado
Pistachos con cáscara,1375.0,No asignado
Pomelos,1321.0,No asignado
Puerros y otras hortalizas aliáceas,1254.0,No asignado
Raíces de achicoria,1691.0,No asignado
"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1599.1,No asignado
Repollos,1212.0,No asignado
Sandías,1221.0,No asignado
Semilla de adormidera,1448.0,No asignado
"Semilla de cartamo, alazor",1446.0,No asignado
Semilla de girasol,1445.0,No asignado
Sorgo,114.0,No asignado
Tabaco sin elaborar,1970.0,No asignado
"Tangerinas, mandarinas, clementinas",1324.0,No asignado
"Tomates, frescos",1234.0,No asignado
Trigo,111.0,No asignado
Triticale,1191.0,No asignado
Uva espina,1351.02,No asignado
Uvas,1330.0,No asignado
Veza,1709.01,No asignado
Zanahorias y nabos,1251.0,No asignado
